farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
24131,19817,HARYANA,YAMUNANAGAR,Sudhal,4.0,3.91,77.22285812893503,30.159681067012723
5936,4752,PUNJAB,BARNALA,sanghera,4.0,4.33,75.51466298664961,30.38776733130708
8373,6493,HARYANA,KURUKSHETRA,Bodla,15.0,15.0,76.93034190868809,30.017694655720295
13799,9984,HARYANA,KAITHAL,Ahun,14.5,13.57,76.66567054362626,29.78307879300311
13798,9984,HARYANA,KAITHAL,Ahun,6.5,6.46,76.68668565903718,29.7790289637807
9765,7426,HARYANA,KARNAL,Nissing,40.0,43.42,76.71627596588765,29.713832184258365
9764,7426,HARYANA,KARNAL,Nissing,65.0,66.13,76.73420190201779,29.69344300743469
8466,6560,PUNJAB,MANSA,Gandu kalan,0.775,0.72,75.5497441183239,29.778758233463748
8464,6560,PUNJAB,MANSA,Gandu kalan,1.68,1.68,75.55154520291597,29.78199008289691
8463,6560,PUNJAB,MANSA,Gandu kalan,1.081,0.98,75.54857289408207,29.784270135574857
13384,9719,HARYANA,KURUKSHETRA,Mukarpur,11.0,10.45,76.92200827628017,29.998261462293993
7502,6171,HARYANA,KURUKSHETRA,bhagwan pur,8.0,7.65,76.94845494945626,30.065362586365183
6830,5491,HARYANA,KURUKSHETRA,Shamsaspur,7.0,6.17,76.73222236115843,29.986385029105
5566,4451,HARYANA,FATEHABAD,Jandwala sottar,16.0,15.77,75.45148777103243,29.596186821584055
8638,6682,HARYANA,KURUKSHETRA,Urnai,8.0,7.0,76.61981461907217,30.0129734049088
13541,9810,HARYANA,YAMUNANAGAR,Ismailpur,1.5,1.52,77.1741402070896,30.125819609005248
9557,7286,HARYANA,KURUKSHETRA,Vill. Sirasama,2.4,1.65,76.90904997434207,29.976654626046553
12037,8828,PUNJAB,FEROZEPUR,Kmale wala,2.0,1.72,74.62493434104329,31.00976459056843
12036,8828,PUNJAB,FEROZEPUR,Kmale wala,11.0,10.74,74.61727713733049,31.004632653376472
12035,8828,PUNJAB,FEROZEPUR,Kmale wala,20.0,18.36,74.61566282964824,31.007362600101615
6887,5536,PUNJAB,FARIDKOT,Kamiana,27.0,28.52,74.70935542995076,30.63926291489276
5130,4083,HARYANA,FATEHABAD,Ayalki,40.0,40.53,75.49208184238456,29.558031132538225
12318,9037,HARYANA,YAMUNANAGAR,Rattangarh,5.0,5.22,77.19606671924524,30.07549863434857
11282,8349,HARYANA,FATEHABAD,Haroli,10.0,9.88,75.46804585372213,29.64367846393927
7647,3673,HARYANA,FATEHABAD,Khumber,15.0,16.52,75.42599635179133,29.612020471931356
7646,3673,HARYANA,FATEHABAD,Khumber,45.0,55.29,75.43352269224627,29.61842657384306
4645,3673,HARYANA,FATEHABAD,Khumber,19.0,20.91,75.41904590742027,29.618324888791797
12941,9448,PUNJAB,FEROZEPUR,Bhane wali basti,14.0,16.98,74.69065847996391,31.051821526247323
13533,9805,HARYANA,FATEHABAD,Ratakhera,17.0,17.19,75.51743933268305,29.674584656840164
13710,9921,HARYANA,FATEHABAD,Manjra,40.0,39.58,75.52291121854171,29.5437634900223
7949,6224,HARYANA,KURUKSHETRA,rampura,10.0,10.64,76.93939509457587,30.04893418746864
11515,8488,HARYANA,KAITHAL,Bhuda kheda,68.0,63.78,76.25544249771099,29.8243294456556
13644,9867,HARYANA,YAMUNANAGAR,Chhari,4.7,4.46,77.14112672387132,30.085058575096664
7222,5972,PUNJAB,MUKTSAR,channu,8.8,8.57,74.6046034033295,30.100039510947763
13750,9951,HARYANA,KURUKSHETRA,Kanthala,23.0,22.95,76.65850160869685,30.049988686228843
12487,9152,HARYANA,KAITHAL,Ahun,13.0,13.67,76.68497104157524,29.787798417187837
11431,8434,HARYANA,KAITHAL,Kaul,5.0,4.67,76.63823162162547,29.840534019450004
11430,8434,HARYANA,KAITHAL,Kaul,13.0,12.04,76.6450128572,29.846654570815588
12436,9118,PUNJAB,MUKTSAR,Lohari,6.0,6.55,74.65339923437261,30.37119565265591
12435,9118,PUNJAB,MUKTSAR,Lohari,11.203,11.66,74.64955693105578,30.36661014910058
12434,9118,PUNJAB,MUKTSAR,Lohari,13.837,13.45,74.64935740268903,30.369632822956632
12433,9118,PUNJAB,MUKTSAR,Lohari,15.928,14.64,74.6673765454591,30.370264666904593
8045,6286,HARYANA,KURUKSHETRA,Kharindwa,15.0,15.97,76.91409332729393,30.113887727240435
12708,9300,PUNJAB,FEROZEPUR,Vahka,5.5,5.23,74.70183291530117,31.042818170670557
9187,7040,HARYANA,KARNAL,Garhi birbal,4.0,5.01,77.17768569934907,29.906171464811255
9186,7040,HARYANA,KARNAL,Garhi birbal,5.0,4.11,77.16669059190625,29.91006642449603
7257,6001,HARYANA,KURUKSHETRA,rawa,8.0,7.73,76.90648319428784,30.184663468111506
9718,7391,HARYANA,FATEHABAD,Haroli,24.0,23.61,75.45077995751218,29.661234805727673
8219,6388,HARYANA,SIRSA,Ghukanwali,46.0,42.41,76.23543912016379,29.910380809838053
5661,4521,HARYANA,KARNAL,Naru kheri,14.0,16.06,76.88968999798611,29.649889194909296
5660,4521,HARYANA,KARNAL,Naru kheri,8.0,8.71,76.88931869896665,29.645997375863885
