farm_id,control_plot_id,soil_class,equlidian_distance,similarity_weight,centroid
13556,13556_13,7,0.628394062,0.199342377,"30.116379226220605,77.17624235233315"
13556,13556_49,7,0.650710352,0.192505875,"30.12895564019828,77.17732033067409"
13556,13556_39,7,0.664689196,0.188457352,"30.126799683516392,77.1683371778329"
12853,12853_32,7,0.333565847,0.235385764,"29.80441362628819,76.6944142472459"
12853,12853_29,7,0.388685282,0.202005724,"29.805160885475498,76.69373752134472"
12853,12853_0,7,0.395637062,0.198456261,"29.806557871766838,76.7033794673338"
12853,12853_35,7,0.428926948,0.18305367,"29.800531572324182,76.69007412056767"
12853,12853_42,7,0.433557521,0.181098581,"29.802687529006068,76.70336918677263"
21902,21902_10,7,0.608174881,0.215224854,"30.048107264627525,76.90818507155188"
21902,21902_19,7,0.635465057,0.205981979,"30.049185242968466,76.91105968046108"
21902,21902_34,7,0.643964901,0.203263174,"30.044154677377396,76.9074664193246"
21902,21902_48,7,0.67421905,0.194142171,"30.040202090127273,76.9067477670973"
21902,21902_43,7,0.721626996,0.181387823,"30.038405459559034,76.90638844098365"
23859,23859_11,7,0.587420076,0.20715639,"30.081165267083122,77.2351718349714"
23859,23859_10,7,0.600363853,0.202690122,"30.074338070923808,77.23984307444881"
23859,23859_3,7,0.600432004,0.202667116,"30.07469739703746,77.23876509610787"
23859,23859_9,7,0.613520109,0.198343658,"30.073619418696524,77.24487364003988"
23859,23859_4,7,0.643365109,0.189142714,"30.079009310401233,77.23337520440316"
21135,21135_29,7,0.569239852,0.203123344,"29.604698840386124,76.94699229182586"
